# energy dos(up) dos(down)
-1.476695810000000009e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.475895810000000097e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.475105809999999984e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.474315809999999871e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.473515809999999959e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.472725810000000024e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.471935810000000089e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.471135809999999999e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.470345809999999886e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.469555809999999951e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.468755810000000039e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.467965810000000104e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.467175809999999991e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.466375809999999902e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.465585809999999967e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.464795810000000031e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.463995810000000120e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.463205810000000007e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.462415809999999894e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.461615809999999982e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.460825810000000047e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.460035810000000112e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.459235810000000022e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.458445809999999909e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.457655809999999974e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.456865810000000039e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.456065810000000127e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.455275810000000014e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.454485809999999901e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.453685809999999989e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.452895810000000054e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.452105810000000119e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.451305810000000029e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.450515809999999917e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.449725809999999981e+01 0.000000000000000000e+00 -0.000000000000000000e+00
